baker,full_name,series,episode,technical,result,baker_age,baker_occupation,hometown,signature_bake,show_stopper
Annetha,Annetha Mills,1,1,2,IN,30,Midwife,Essex,Light Jamaican Black Cakewith Strawberries and Cream,"Red, White & Blue Chocolate Cake with Cigarellos, Fresh Fruit, and Cream"
David,David Chambers,1,1,3,IN,31,Entrepreneur,Milton Keynes,Chocolate Orange Cake,"Black Forest Floor Gateauxwith Moulded Chocolate Leaves, Fallen Fruitand Chocolate Mushrooms Moulded from eggs"
Edd,Edd Kimber,1,1,1,IN,24,Debt collector for Yorkshire Bank,Bradford,Caramel Cinnamon and Banana Cake,NA
Jasminder,Jasminder Randhawa,1,1,NA,IN,45,Assistant Credit Control Manager,Birmingham,Fresh Mango and Passion Fruit Hummingbird Cake,NA
Jonathan,Jonathan Shepherd,1,1,9,IN,25,Research Analyst,St Albans,Carrot Cake with Lime and Cream Cheese Icing,Three Tiered White and Dark Chocolate with Almond and Cherry
Louise,Louise Brimelow,1,1,NA,IN,44,Police Officer,Manchester,Carrot and Orange Cake,"Never Fail Chocolate Sponge Cake,with Fresh Fruit, White & Chocolate Cigarello Border"
Miranda,Miranda Browne,1,1,8,IN,37,Food buyer for Marks & Spencer,"Midhurst, West Sussex","Triple Layered Brownie Meringue Cake
with Raspberry Cream",Three Tiered Chocolate Fudge Cake  with Handmade Chocolate Button Decorations
Ruth,Ruth Clemens,1,1,NA,IN,31,Retail manager/Housewife,"Poynton, Cheshire",Three Tiered Lemon Drizzle Cakewith Fresh Cream and freshly made Lemon Curd,Classic Chocolate Sponge wrapped in a Chocolate Collartopped with Handmade White and Dark Chocolate Truffles
Lea,Lea Harris,1,1,10,OUT,51,Retired,"Midlothian, Scotland",Cranberry and Pistachio Cakewith Orange Flower Water Icing,Raspberries and Cream filled Chocolatewith Chocolate-dipped Fresh Fruit
Mark,Mark Whithers,1,1,NA,OUT,48,Bus Driver,South Wales,Sticky Marmalade Tea Loaf,Heart-shaped Chocolate and Beetroot Cake with Store-Bought silver chocolate hearts and chocolate red and white roses.
David,David Chambers,1,2,8,IN,31,Entrepreneur,Milton Keynes,Cheddar Cheese and Fresh Rosemary Biscuits,Choux Pastry Swans  Chocolate Profiteroles
Edd,Edd Kimber,1,2,6,IN,24,Debt collector for Yorkshire Bank,Bradford,Oatmeal Raisin Cookie,Pink Macarons
Jasminder,Jasminder Randhawa,1,2,2,IN,45,Assistant Credit Control Manager,Birmingham,Millionaires' Shortbread,Meringues with Chocolate and Space DustCoffee flavoured Eclairs
Jonathan,Jonathan Shepherd,1,2,1,IN,25,Research Analyst,St Albans,Honey and Candied Ginger Cookies,Meringues with Whiskey Cream
Miranda,Miranda Browne,1,2,3,IN,37,Food buyer for Marks & Spencer,"Midhurst, West Sussex",Fresh Vanilla Biscuits with Royal Icing,Pistachio Macarons
Ruth,Ruth Clemens,1,2,5,IN,31,Retail manager/Housewife,"Poynton, Cheshire",Peanut Shortbread withSalted Peanut Caramel,Almond Macaron with Violet ButtercreamRaspberries and Cream Eclairs
Annetha,Annetha Mills,1,2,7,OUT,30,Midwife,Essex,Rose Petal Shortbread,Pink Swirl Macarons / Eclairs
Louise,Louise Brimelow,1,2,4,OUT,44,Police Officer,Manchester,Stained Glass Window Shortbread,"Strawberry, Mint, and Cream Meringues  Chocolate Eclairs / Orange, Yellow and Pink Macarons"
Lea,Lea Harris,1,2,NA,NA,51,Retired,"Midlothian, Scotland",NA,NA
Mark,Mark Whithers,1,2,NA,NA,48,Bus Driver,South Wales,NA,NA
David,David Chambers,1,3,4,IN,31,Entrepreneur,Milton Keynes,Chilli Bread,"Walnut and Seed Roll
Red Berry and Almond Bun"
Edd,Edd Kimber,1,3,1,IN,24,Debt collector for Yorkshire Bank,Bradford,Olive Bread,Tomato and Mozzarella
Jasminder,Jasminder Randhawa,1,3,5,IN,45,Assistant Credit Control Manager,Birmingham,Focaccia,"Mango and Sultana Buns
Pan au Chocolat with Mars Bars
Tutti Frutti Wheel with Jelly Tots"
Miranda,Miranda Browne,1,3,3,IN,37,Food buyer for Marks & Spencer,"Midhurst, West Sussex",Walnut and Apricot Bread,"Lemon Iced Buns
Chocolate and Orange Buns"
Ruth,Ruth Clemens,1,3,2,IN,31,Retail manager/Housewife,"Poynton, Cheshire",Maple and Pecan Bread,"Chocolate and Orange Panettone
Cranberry Bagels"
Jonathan,Jonathan Shepherd,1,3,6,OUT,25,Research Analyst,St Albans,"Anchovy, Sweet Paprika and Oregano Bread","Sticky Lemon Honey Bun
Olive and Anchovy Roll
Sundried Tomatoes and Fresh Herbs Roll
Stilton, Walnut and Apple Roll
Cinnamon and Cardamom Chelsea Bun"
Annetha,Annetha Mills,1,3,NA,NA,30,Midwife,Essex,NA,NA
Lea,Lea Harris,1,3,NA,NA,51,Retired,"Midlothian, Scotland",NA,NA
Louise,Louise Brimelow,1,3,NA,NA,44,Police Officer,Manchester,NA,NA
Mark,Mark Whithers,1,3,NA,NA,48,Bus Driver,South Wales,NA,NA
